figure_file,relative_path,format,image_size_px,file_size_kb,mtime,likely_figure_id,section_in_manuscript,caption_candidate,source_script,source_data_file,source_data_type,data_status,is_duplicate,duplicate_group_id,is_outdated,problem_level,problem_description,recommended_action
publication_fig02_speckle_response_pseudocolor.pdf,figures_publication/publication_fig02_speckle_response_pseudocolor.pdf,pdf,,7051.3,2026-05-12T07:49:55Z,publication_speckle_response,2–3 illustrative speckle,Representative speckle panels from videocapture,scripts/make_publication_figures.py::fig02_speckle_response,videocapture (see script LENGTH_IMAGE paths),video_frames,raw_data_verified,no,,no,OK,,use_after_minor_style_fix
publication_fig04_length_optimization.svg,figures_publication/publication_fig04_length_optimization.svg,svg,,166.0,2026-05-12T07:49:57Z,publication_length_optimization_4panel,Journal pack — NOT 策划书 Fig 4,Montage (a) + entropy (b) + L2 bars (c) + separate ratio (d); footnote may list optimum text,scripts/make_publication_figures.py::fig03_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv,csv,raw_data_verified,same_figure_formats,publication_fig03_fig04_length_optimization_pair,no,warning,Four-panel layout and naming collide with 策划书 triple-panel Fig 4; png fig03 == png fig04 (duplicate export).,archive_only
publication_fig05_dual_channel_robustness.png,figures_publication/publication_fig05_dual_channel_robustness.png,png,4221x3868,493.4,2026-05-12T07:49:58Z,publication_dual_channel_metrics_grid,Support / methods — metrics explorer,Power sweeps + NCC violins from metrics_summary.json,scripts/make_publication_figures.py::fig05_dual_channel_robustness,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,warning,Different layout from 策划书 fig7; uses pooled metrics JSON.,archive_only
supplementary_fig_s1_ncc_hd.pdf,figures_publication/supplementary_fig_s1_ncc_hd.pdf,pdf,,22.1,2026-05-12T07:52:06Z,supplementary_fig_s1_ncc_hd,Supplementary,NCC / reinstall robustness from publication script,scripts/make_publication_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,minor,,use_after_minor_style_fix
publication_fig02_speckle_response.png,figures_publication/publication_fig02_speckle_response.png,png,4406x1826,3862.8,2026-05-12T07:49:46Z,publication_speckle_response,2–3 illustrative speckle,Representative speckle panels from videocapture,scripts/make_publication_figures.py::fig02_speckle_response,videocapture (see script LENGTH_IMAGE paths),video_frames,raw_data_verified,no,,no,OK,,use_after_minor_style_fix
publication_fig04_cross_fiber_auth.svg,figures_publication/publication_fig04_cross_fiber_auth.svg,svg,,122.4,2026-05-12T07:49:58Z,publication_cross_fiber_auth,3.3 recognition performance,Cross-fiber / same-fiber accuracy matrix + scatter + histograms,scripts/make_publication_figures.py::fig04_cross_fiber_auth,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Excluded from 策划书 图7/8 per brief; PR-style auth figure.,use_after_minor_style_fix
supplementary_fig_s1_ncc_hd.png,figures_publication/supplementary_fig_s1_ncc_hd.png,png,4185x1891,172.0,2026-05-12T07:52:06Z,supplementary_fig_s1_ncc_hd,Supplementary,NCC / reinstall robustness from publication script,scripts/make_publication_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,minor,,use_after_minor_style_fix
publication_fig02_speckle_response.pdf,figures_publication/publication_fig02_speckle_response.pdf,pdf,,2958.0,2026-05-12T07:49:47Z,publication_speckle_response,2–3 illustrative speckle,Representative speckle panels from videocapture,scripts/make_publication_figures.py::fig02_speckle_response,videocapture (see script LENGTH_IMAGE paths),video_frames,raw_data_verified,no,,no,OK,,use_after_minor_style_fix
publication_fig05_dual_channel_robustness.pdf,figures_publication/publication_fig05_dual_channel_robustness.pdf,pdf,,32.7,2026-05-12T07:49:58Z,publication_dual_channel_metrics_grid,Support / methods — metrics explorer,Power sweeps + NCC violins from metrics_summary.json,scripts/make_publication_figures.py::fig05_dual_channel_robustness,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,warning,Different layout from 策划书 fig7; uses pooled metrics JSON.,archive_only
publication_fig04_cross_fiber_auth.pdf,figures_publication/publication_fig04_cross_fiber_auth.pdf,pdf,,39.2,2026-05-12T07:49:57Z,publication_cross_fiber_auth,3.3 recognition performance,Cross-fiber / same-fiber accuracy matrix + scatter + histograms,scripts/make_publication_figures.py::fig04_cross_fiber_auth,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Excluded from 策划书 图7/8 per brief; PR-style auth figure.,use_after_minor_style_fix
supplementary_fig_s1_ncc_hd.svg,figures_publication/supplementary_fig_s1_ncc_hd.svg,svg,,88.4,2026-05-12T07:52:06Z,supplementary_fig_s1_ncc_hd,Supplementary,NCC / reinstall robustness from publication script,scripts/make_publication_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,minor,,use_after_minor_style_fix
publication_fig04_cross_fiber_auth.png,figures_publication/publication_fig04_cross_fiber_auth.png,png,5184x4227,498.2,2026-05-12T07:49:57Z,publication_cross_fiber_auth,3.3 recognition performance,Cross-fiber / same-fiber accuracy matrix + scatter + histograms,scripts/make_publication_figures.py::fig04_cross_fiber_auth,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Excluded from 策划书 图7/8 per brief; PR-style auth figure.,use_after_minor_style_fix
publication_fig02_speckle_response.svg,figures_publication/publication_fig02_speckle_response.svg,svg,,4944.9,2026-05-12T07:49:48Z,publication_speckle_response,2–3 illustrative speckle,Representative speckle panels from videocapture,scripts/make_publication_figures.py::fig02_speckle_response,videocapture (see script LENGTH_IMAGE paths),video_frames,raw_data_verified,no,,no,OK,,use_after_minor_style_fix
publication_fig05_dual_channel_robustness.svg,figures_publication/publication_fig05_dual_channel_robustness.svg,svg,,99.8,2026-05-12T07:49:58Z,publication_dual_channel_metrics_grid,Support / methods — metrics explorer,Power sweeps + NCC violins from metrics_summary.json,scripts/make_publication_figures.py::fig05_dual_channel_robustness,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/new_datasets_analysis/metrics_summary.json,json,raw_data_verified,no,,no,warning,Different layout from 策划书 fig7; uses pooled metrics JSON.,archive_only
fig7_dual_channel_characterization.svg,figures_competition/fig7_dual_channel_characterization.svg,svg,,75.3,2026-05-12T08:16:01Z,fig7_dual_channel_characterization,3.2(3) 策划书 — dual-channel characterization,(a) red vs green NCC; (b) bend summary; (c) radial proxy,scripts/generate_competition_figures.py::fig7_dual_channel,long_term_stability/ + videocapture + manuscript summaries (see manifest),video_frames,mixed,no,,no,warning,Red bar partly summary; (b) summary-only 5%/25%; (c) video channel proxy — not dual-channel experiment CSV.,use_after_minor_style_fix
fig8_common_mode_suppression.svg,figures_competition/fig8_common_mode_suppression.svg,svg,,43.6,2026-05-12T08:16:01Z,fig8_common_mode_suppression,3.2 策划书 — common-mode suppression narrative,CV bars 38.2% vs 4.3%; reinstall NCC +28% story,scripts/generate_competition_figures.py::fig8_common_mode,manuscript summary constants (no power_common_mode CSV in script),manuscript_summary,summary_statistics_verified,no,,no,minor,Numerics from proposal; not recomputed from common_mode experiment outputs in-repo.,use_after_minor_style_fix
fig4_length_optimization.svg,figures_competition/fig4_length_optimization.svg,svg,,78.3,2026-05-12T08:15:56Z,fig4_length_optimization,3.2(1) 策划书 — fiber length optimization,Triple: transmission loss; intra/inter + twin ratio; pixel entropy vs total length,scripts/generate_competition_figures.py::fig4_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv; /Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/optimal_length.json,mixed_paths,raw_data_verified,no,,no,OK,Uses official per_length_summary.csv; aligns 28.39 / 1.5653 / 6.183 when CSV present.,use_after_minor_style_fix
fig4_length_optimization.pdf,figures_competition/fig4_length_optimization.pdf,pdf,,25.0,2026-05-12T08:15:56Z,fig4_length_optimization,3.2(1) 策划书 — fiber length optimization,Triple: transmission loss; intra/inter + twin ratio; pixel entropy vs total length,scripts/generate_competition_figures.py::fig4_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv; /Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/optimal_length.json,mixed_paths,raw_data_verified,no,,no,OK,Uses official per_length_summary.csv; aligns 28.39 / 1.5653 / 6.183 when CSV present.,use_after_minor_style_fix
fig4_length_optimization.png,figures_competition/fig4_length_optimization.png,png,3067x972,207.8,2026-05-12T08:15:56Z,fig4_length_optimization,3.2(1) 策划书 — fiber length optimization,Triple: transmission loss; intra/inter + twin ratio; pixel entropy vs total length,scripts/generate_competition_figures.py::fig4_length_optimization,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv; /Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/optimal_length.json,mixed_paths,raw_data_verified,no,,no,OK,Uses official per_length_summary.csv; aligns 28.39 / 1.5653 / 6.183 when CSV present.,use_after_minor_style_fix
fig8_common_mode_suppression.png,figures_competition/fig8_common_mode_suppression.png,png,2017x862,80.1,2026-05-12T08:16:01Z,fig8_common_mode_suppression,3.2 策划书 — common-mode suppression narrative,CV bars 38.2% vs 4.3%; reinstall NCC +28% story,scripts/generate_competition_figures.py::fig8_common_mode,manuscript summary constants (no power_common_mode CSV in script),manuscript_summary,summary_statistics_verified,no,,no,minor,Numerics from proposal; not recomputed from common_mode experiment outputs in-repo.,use_after_minor_style_fix
fig7_dual_channel_characterization.pdf,figures_competition/fig7_dual_channel_characterization.pdf,pdf,,25.0,2026-05-12T08:16:01Z,fig7_dual_channel_characterization,3.2(3) 策划书 — dual-channel characterization,(a) red vs green NCC; (b) bend summary; (c) radial proxy,scripts/generate_competition_figures.py::fig7_dual_channel,long_term_stability/ + videocapture + manuscript summaries (see manifest),video_frames,mixed,no,,no,warning,Red bar partly summary; (b) summary-only 5%/25%; (c) video channel proxy — not dual-channel experiment CSV.,use_after_minor_style_fix
fig8_common_mode_suppression.pdf,figures_competition/fig8_common_mode_suppression.pdf,pdf,,17.9,2026-05-12T08:16:01Z,fig8_common_mode_suppression,3.2 策划书 — common-mode suppression narrative,CV bars 38.2% vs 4.3%; reinstall NCC +28% story,scripts/generate_competition_figures.py::fig8_common_mode,manuscript summary constants (no power_common_mode CSV in script),manuscript_summary,summary_statistics_verified,no,,no,minor,Numerics from proposal; not recomputed from common_mode experiment outputs in-repo.,use_after_minor_style_fix
fig7_dual_channel_characterization.png,figures_competition/fig7_dual_channel_characterization.png,png,3012x891,148.2,2026-05-12T08:16:01Z,fig7_dual_channel_characterization,3.2(3) 策划书 — dual-channel characterization,(a) red vs green NCC; (b) bend summary; (c) radial proxy,scripts/generate_competition_figures.py::fig7_dual_channel,long_term_stability/ + videocapture + manuscript summaries (see manifest),video_frames,mixed,no,,no,warning,Red bar partly summary; (b) summary-only 5%/25%; (c) video channel proxy — not dual-channel experiment CSV.,use_after_minor_style_fix
manifest.csv,figures_competition/manifest.csv,csv,,2.5,2026-05-12T08:16:01Z,figures_competition_manifest,provenance,Links fig4/7/8 to data roots,scripts/generate_competition_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures_competition/manifest.csv,csv,raw_data_verified,no,,no,OK,,use_as_final
fig_auth_scores.svg,figures/fig_auth_scores.svg,svg,,55.6,2026-05-05T07:56:02Z,fig_auth_scores,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_test_accuracy_summary.pdf,figures/fig_test_accuracy_summary.pdf,pdf,,19.0,2026-05-05T07:59:12Z,fig_test_accuracy_summary,3.3 training & evaluation,Learning curves / accuracy summaries,train_eval.py + make_paper_figures.py,results/fiber*/training_log.csv (typical),directory+jpeg_or_media,source_unclear,no,,no,minor,Confirm which training run maps to each export.,need_user_confirmation
fig_training_curves.svg,figures/fig_training_curves.svg,svg,,43.6,2026-05-05T07:59:12Z,fig_training_curves,3.3 training & evaluation,Learning curves / accuracy summaries,train_eval.py + make_paper_figures.py,results/fiber*/training_log.csv (typical),directory+jpeg_or_media,source_unclear,no,,no,minor,Confirm which training run maps to each export.,need_user_confirmation
fig_test_accuracy_summary.png,figures/fig_test_accuracy_summary.png,png,2409x1307,94.1,2026-05-05T07:59:12Z,fig_test_accuracy_summary,3.3 training & evaluation,Learning curves / accuracy summaries,train_eval.py + make_paper_figures.py,results/fiber*/training_log.csv (typical),directory+jpeg_or_media,source_unclear,no,,no,minor,Confirm which training run maps to each export.,need_user_confirmation
fig_green_length_entropy_per_length.png,figures/fig_green_length_entropy_per_length.png,png,2109x1509,159.7,2026-05-05T07:51:10Z,fig_green_length_entropy_per_length,3.2 legacy — partial green length pipeline,Entropy / intra-inter / montage from older partial runner,scripts/run_partial_length_analysis.py / regenerate_figures,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimize_current/summary.json,json,legacy_or_old_version,no,,yes,serious,Risk of 1.5779 / 6.8369 if sourced from length_optimize_current; not LO_GREEN.,archive_only
fig_auth_matrix.svg,figures/fig_auth_matrix.svg,svg,,78.1,2026-05-05T07:56:02Z,fig_auth_matrix,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_auth_matrix.png,figures/fig_auth_matrix.png,png,2460x2131,203.9,2026-05-05T07:56:01Z,fig_auth_matrix,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_training_curves.pdf,figures/fig_training_curves.pdf,pdf,,19.0,2026-05-05T07:59:12Z,fig_training_curves,3.3 training & evaluation,Learning curves / accuracy summaries,train_eval.py + make_paper_figures.py,results/fiber*/training_log.csv (typical),directory+jpeg_or_media,source_unclear,no,,no,minor,Confirm which training run maps to each export.,need_user_confirmation
fig_test_accuracy_summary.svg,figures/fig_test_accuracy_summary.svg,svg,,33.0,2026-05-05T07:59:12Z,fig_test_accuracy_summary,3.3 training & evaluation,Learning curves / accuracy summaries,train_eval.py + make_paper_figures.py,results/fiber*/training_log.csv (typical),directory+jpeg_or_media,source_unclear,no,,no,minor,Confirm which training run maps to each export.,need_user_confirmation
fig_training_curves.png,figures/fig_training_curves.png,png,4205x1689,274.8,2026-05-05T07:59:12Z,fig_training_curves,3.3 training & evaluation,Learning curves / accuracy summaries,train_eval.py + make_paper_figures.py,results/fiber*/training_log.csv (typical),directory+jpeg_or_media,source_unclear,no,,no,minor,Confirm which training run maps to each export.,need_user_confirmation
fig_auth_matrix.pdf,figures/fig_auth_matrix.pdf,pdf,,30.6,2026-05-05T07:56:02Z,fig_auth_matrix,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_auth_scores.pdf,figures/fig_auth_scores.pdf,pdf,,20.2,2026-05-05T07:56:02Z,fig_auth_scores,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_auth_scores.png,figures/fig_auth_scores.png,png,4206x1689,180.1,2026-05-05T07:56:02Z,fig_auth_scores,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_green_length_speckle_montage.png,figures/fig_green_length_speckle_montage.png,png,3894x3909,19212.5,2026-05-05T07:51:10Z,fig_green_length_speckle_montage,3.2 legacy — partial green length pipeline,Entropy / intra-inter / montage from older partial runner,scripts/run_partial_length_analysis.py / regenerate_figures,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimize_current/summary.json,json,legacy_or_old_version,no,,yes,serious,Risk of 1.5779 / 6.8369 if sourced from length_optimize_current; not LO_GREEN.,archive_only
fig_speckle_examples.svg,figures/fig_speckle_examples.svg,svg,,6324.9,2026-05-05T07:56:09Z,fig_speckle_examples,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
fig_same_fiber_per_domain.svg,figures/fig_same_fiber_per_domain.svg,svg,,39.4,2026-05-05T07:56:02Z,fig_same_fiber_per_domain,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
fig_ncc_hd.svg,figures/fig_ncc_hd.svg,svg,,105.4,2026-05-05T08:05:55Z,fig_ncc_hd,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
fig_green_length_intensity_histogram.png,figures/fig_green_length_intensity_histogram.png,png,2709x1809,314.0,2026-05-05T07:51:10Z,fig_green_length_intensity_histogram,3.2 legacy — partial green length pipeline,Entropy / intra-inter / montage from older partial runner,scripts/run_partial_length_analysis.py / regenerate_figures,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimize_current/summary.json,json,legacy_or_old_version,no,,yes,serious,Risk of 1.5779 / 6.8369 if sourced from length_optimize_current; not LO_GREEN.,archive_only
fig_auth_gap.svg,figures/fig_auth_gap.svg,svg,,71.4,2026-05-05T07:56:02Z,fig_auth_gap,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_green_length_intra_inter_by_length.png,figures/fig_green_length_intra_inter_by_length.png,png,3588x1406,227.3,2026-05-05T07:56:48Z,fig_green_length_intra_inter_by_length,3.2 legacy — partial green length pipeline,Entropy / intra-inter / montage from older partial runner,scripts/run_partial_length_analysis.py / regenerate_figures,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimize_current/summary.json,json,legacy_or_old_version,no,,yes,serious,Risk of 1.5779 / 6.8369 if sourced from length_optimize_current; not LO_GREEN.,archive_only
fig_auth_gap.png,figures/fig_auth_gap.png,png,4226x1835,209.6,2026-05-05T07:56:02Z,fig_auth_gap,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_auth_gap.pdf,figures/fig_auth_gap.pdf,pdf,,27.9,2026-05-05T07:56:02Z,fig_auth_gap,3.3 authentication / performance,"Auth matrix, gap, score distributions",scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,raw_data_verified,no,,no,OK,Do not place in 3.2; rename if confused with fig7/8.,use_after_minor_style_fix
fig_ncc_hd.png,figures/fig_ncc_hd.png,png,4862x1557,181.4,2026-05-05T08:05:55Z,fig_ncc_hd,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
fig_speckle_examples.pdf,figures/fig_speckle_examples.pdf,pdf,,4314.0,2026-05-05T07:56:08Z,fig_speckle_examples,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
fig_same_fiber_per_domain.png,figures/fig_same_fiber_per_domain.png,png,3159x1878,126.7,2026-05-05T07:56:02Z,fig_same_fiber_per_domain,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
